Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
98,0,-279.69,238.585,1541.07,-316.641,242.571,1540.9,-277.852,252.91,1488.32
99,0,-279.805,238.067,1540.89,-316.71,242.036,1540.63,-277.852,252.244,1487.97
100,0,-279.805,237.631,1540.6,-316.677,241.414,1540.34,-277.899,251.582,1487.6
101,0,-279.845,237.028,1540.2,-316.724,240.718,1539.85,-277.943,251.189,1487.42
102,0,-279.905,236.412,1539.89,-316.772,240.234,1539.55,-277.922,250.881,1487.26
103,0,-279.934,235.985,1539.66,-316.812,239.887,1539.34,-277.864,250.214,1486.78
104,0,-279.99,235.682,1539.43,-316.869,239.482,1539.03,-277.876,249.933,1486.58
105,0,-280,235.402,1539.11,-316.908,239.038,1538.7,-277.906,249.631,1486.42
106,0,-280.047,235.14,1538.81,-317.133,238.668,1538.42,-277.916,249.345,1486.17
107,0,-280.087,234.873,1538.52,-317.027,238.427,1538.15,-277.98,249.211,1485.97
108,0,-280.145,234.657,1538.27,-317.027,238.193,1537.88,-278.057,249.139,1485.76
109,0,-280.183,234.369,1538.08,-317.07,237.954,1537.57,-278.217,248.78,1485.24
110,0,-280.268,234.105,1537.86,-317.195,237.769,1537.28,-278.224,248.525,1484.89
111,0,-280.26,233.757,1537.51,-317.319,237.533,1536.97,-278.271,248.434,1484.67
112,0,-280.337,233.509,1537.21,-317.415,237.279,1536.69,-278.311,248.324,1484.52
113,0,-280.467,233.331,1536.94,-317.524,237.037,1536.42,-278.317,248.236,1484.36
114,0,-280.581,233.123,1536.68,-317.599,236.896,1536.22,-278.294,248.165,1484.23
115,0,-280.643,232.927,1536.46,-317.623,236.583,1535.91,-278.287,247.601,1483.7
116,0,-280.7,232.81,1536.27,-317.615,236.256,1535.62,-278.414,247.557,1483.64
117,0,-280.7,232.753,1536.16,-317.711,236.038,1535.41,-278.498,247.397,1483.45
118,0,-280.713,232.495,1535.86,-317.727,235.894,1535.23,-278.535,247.239,1483.28
119,0,-280.802,232.269,1535.63,-317.812,235.708,1535,-278.595,247.06,1483.12
120,0,-280.864,232.057,1535.47,-317.858,235.509,1534.79,-278.628,246.905,1482.93
121,0,-280.94,231.904,1535.3,-317.93,235.352,1534.59,-278.684,246.73,1482.72
122,0,-280.99,231.759,1535.11,-317.928,235.342,1534.56,-278.674,246.526,1482.49
123,0,-281.029,231.633,1534.93,-317.942,235.143,1534.31,-278.706,246.428,1482.3
124,0,-281.034,231.586,1534.79,-318.033,235.051,1534.13,-278.717,246.364,1482.14
125,0,-281.027,231.611,1534.7,-317.934,234.968,1533.89,-278.723,246.347,1482.01
126,0,-281.034,231.511,1534.54,-318.086,234.946,1533.8,-278.711,246.305,1481.84
127,0,-281.091,231.403,1534.32,-318.08,234.944,1533.67,-278.7,246.32,1481.73
128,0,-281.098,231.393,1534.19,-318.099,234.976,1533.5,-278.706,246.323,1481.56
129,0,-281.093,231.357,1534.04,-318.125,235.007,1533.35,-278.715,246.392,1481.46
130,0,-281.075,231.364,1533.93,-318.143,235.04,1533.22,-278.745,246.459,1481.41
131,0,-281.155,231.506,1533.83,-318.149,235.07,1533.07,-278.682,246.54,1481.3
132,0,-281.139,231.589,1533.68,-318.16,235.133,1532.93,-278.678,246.69,1481.19
133,0,-281.05,231.746,1533.48,-318.156,235.238,1532.8,-278.652,246.878,1481.09
134,0,-281.14,231.944,1533.47,-318.128,235.305,1532.68,-278.642,247.088,1481.01
135,0,-281.126,232.131,1533.36,-318.134,235.453,1532.56,-278.603,247.249,1480.89
136,0,-281.125,232.298,1533.27,-318.13,235.612,1532.42,-278.576,247.428,1480.73
137,0,-281.144,232.438,1533.16,-318.18,235.843,1532.29,-278.548,247.601,1480.53
138,0,-281.172,232.58,1533.06,-318.183,236.104,1532.29,-278.571,247.748,1480.46
139,0,-281.179,232.712,1532.92,-318.181,236.265,1532.22,-278.544,247.83,1480.37
140,0,-281.183,232.83,1532.83,-318.185,236.333,1532.05,-278.509,247.949,1480.29
141,0,-281.186,232.916,1532.73,-318.159,236.513,1532.03,-278.51,248.045,1480.22
142,0,-281.214,233.068,1532.68,-318.14,236.658,1531.97,-278.519,248.197,1480.19
143,0,-281.204,233.177,1532.65,-318.143,236.828,1531.96,-278.51,248.307,1480.14
144,0,-281.196,233.26,1532.63,-318.142,236.961,1531.93,-278.518,248.432,1480.12
145,0,-281.177,233.343,1532.6,-318.142,237.088,1531.91,-278.493,248.49,1480.09
146,0,-281.184,233.409,1532.6,-318.16,237.145,1531.89,-278.5,248.562,1480.08
147,0,-281.221,233.457,1532.61,-318.182,237.181,1531.89,-278.52,248.563,1480.07
148,0,-281.209,233.518,1532.63,-318.187,237.219,1531.9,-278.512,248.654,1480.1
149,0,-281.218,233.524,1532.64,-318.194,237.233,1531.88,-278.534,248.657,1480.11
150,0,-281.239,233.562,1532.68,-318.215,237.297,1531.93,-278.554,248.699,1480.11
151,0,-281.244,233.625,1532.72,-318.23,237.304,1531.95,-278.576,248.778,1480.16
152,0,-281.251,233.669,1532.78,-318.242,237.327,1531.99,-278.56,248.802,1480.2
153,0,-281.267,233.74,1532.85,-318.23,237.34,1532.03,-278.581,248.817,1480.22
154,0,-281.287,233.826,1532.94,-318.242,237.394,1532.09,-278.603,248.984,1480.35
155,0,-281.259,233.965,1533.07,-318.232,237.452,1532.14,-278.596,249.119,1480.42
156,0,-281.295,234.054,1533.17,-318.239,237.484,1532.23,-278.612,249.028,1480.34
157,0,-281.297,234.185,1533.29,-318.206,237.551,1532.28,-278.593,249.364,1480.65
158,0,-281.298,234.195,1533.32,-318.136,237.589,1532.42,-278.666,249.722,1480.95
159,0,-281.309,234.277,1533.43,-318.219,237.721,1532.58,-278.677,249.73,1481.01
160,0,-281.298,234.389,1533.54,-318.181,237.759,1532.69,-278.656,249.663,1481.01
161,0,-281.313,234.454,1533.65,-318.186,237.863,1532.88,-278.684,249.747,1481.14
162,0,-281.3,234.54,1533.81,-318.186,237.946,1533.04,-278.727,249.851,1481.27
163,0,-281.279,234.635,1533.89,-318.198,238.036,1533.21,-278.737,249.901,1481.4
164,0,-281.243,234.682,1533.98,-318.191,238.032,1533.23,-278.708,249.998,1481.53
165,0,-281.264,234.703,1534.02,-318.23,238.14,1533.35,-278.711,250.057,1481.6
166,0,-281.244,234.706,1534.07,-318.239,238.218,1533.45,-278.688,250.051,1481.68
167,0,-281.233,234.724,1534.12,-318.229,238.253,1533.54,-278.696,250.094,1481.76
168,0,-281.248,234.769,1534.23,-318.257,238.305,1533.63,-278.716,250.144,1481.82
169,0,-281.272,234.804,1534.3,-318.279,238.349,1533.7,-278.72,250.225,1481.96
170,0,-281.274,234.819,1534.4,-318.304,238.389,1533.78,-278.73,250.276,1482.05
171,0,-281.313,234.862,1534.48,-318.326,238.449,1533.83,-278.745,250.335,1482.12
172,0,-281.338,234.922,1534.57,-318.346,238.489,1533.91,-278.819,250.426,1482.22
173,0,-281.324,235.004,1534.71,-318.378,238.555,1533.95,-278.827,250.488,1482.32
174,0,-281.357,235.088,1534.83,-318.405,238.61,1534.02,-278.863,250.585,1482.4
175,0,-281.345,235.149,1534.93,-318.343,238.678,1534.09,-278.88,250.815,1482.7
176,0,-281.376,235.218,1535.05,-318.359,238.715,1534.16,-278.864,250.665,1482.59
177,0,-281.358,235.235,1535.13,-318.346,238.76,1534.26,-278.884,250.84,1482.78
178,0,-281.362,235.217,1535.13,-318.377,238.829,1534.37,-278.908,250.858,1482.83
179,0,-281.366,235.284,1535.3,-318.391,238.876,1534.48,-279.032,250.797,1482.78
180,0,-281.384,235.241,1535.29,-318.429,238.902,1534.59,-279.079,250.731,1482.79
181,0,-281.404,235.24,1535.37,-318.441,238.945,1534.71,-279.034,250.827,1482.94
182,0,-281.446,235.254,1535.42,-318.447,239.01,1534.83,-278.992,250.885,1483.02
183,0,-281.445,235.292,1535.52,-318.488,238.932,1534.86,-279.013,250.852,1483.06
184,0,-281.486,235.324,1535.61,-318.506,238.966,1534.97,-279.134,250.846,1483.16
185,0,-281.503,235.317,1535.68,-318.514,238.988,1535.09,-279.171,250.875,1483.18
186,0,-281.542,235.315,1535.77,-318.515,239.002,1535.16,-279.196,250.829,1483.25
187,0,-281.55,235.305,1535.83,-318.519,239.048,1535.27,-279.241,250.797,1483.36
188,0,-281.601,235.293,1535.9,-318.531,239.029,1535.34,-279.271,250.768,1483.42
189,0,-281.615,235.328,1535.97,-318.56,239.027,1535.43,-279.305,250.755,1483.5
190,0,-281.634,235.309,1536.02,-318.576,239.036,1535.48,-279.286,250.545,1483.34
191,0,-281.67,235.334,1536.08,-318.592,239.071,1535.56,-279.333,250.697,1483.57
192,0,-281.674,235.333,1536.14,-318.621,239.088,1535.65,-279.378,250.719,1483.69
193,0,-281.69,235.367,1536.22,-318.625,239.089,1535.71,-279.371,250.702,1483.72
194,0,-281.725,235.388,1536.25,-318.643,239.089,1535.77,-279.394,250.654,1483.77
195,0,-281.709,235.375,1536.32,-318.674,239.08,1535.8,-279.437,250.627,1483.8
196,0,-281.746,235.342,1536.34,-318.694,239.058,1535.84,-279.464,250.585,1483.82
197,0,-281.763,235.278,1536.35,-318.723,239.041,1535.85,-279.501,250.606,1483.85
198,0,-281.774,235.243,1536.35,-318.768,238.99,1535.85,-279.525,250.495,1483.85
199,0,-281.79,235.153,1536.37,-318.799,238.965,1535.85,-279.511,250.459,1483.86
200,0,-281.814,235.13,1536.36,-318.825,238.926,1535.86,-279.564,250.421,1483.84
