X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
3.143571e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
3.162857e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417350e+000
3.182143e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417664e+000
3.201429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.220714e-001,2.869558e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.240000e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
3.259286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.278571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.297857e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417664e+000
3.317143e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417507e+000
3.336429e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
3.355714e-001,2.867989e-001,1.417820e+000,7.079109e-002,1.417507e+000
3.375000e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.394286e-001,2.867989e-001,1.418291e+000,7.079109e-002,1.417664e+000
3.413571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
3.432857e-001,2.867989e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.452143e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
3.471429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.490714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
3.510000e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417350e+000
3.529286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.548571e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
3.567857e-001,2.864852e-001,1.417977e+000,7.047735e-002,1.417507e+000
3.587143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417664e+000
3.606429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.625714e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417350e+000
3.645000e-001,2.863283e-001,1.417977e+000,7.079109e-002,1.417507e+000
3.664286e-001,2.866421e-001,1.417977e+000,7.016362e-002,1.417350e+000
3.683571e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.702857e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417350e+000
3.722143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
3.741429e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417350e+000
3.760714e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417350e+000
3.780000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
3.799286e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417664e+000
