Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
287,0,-257.362,222.032,1535.08,-294.678,224.089,1534.24,-256.633,217.807,1480.37
288,0,-257.342,222.1,1535.08,-294.666,224.195,1534.25,-256.654,217.821,1480.33
289,0,-257.351,222.127,1535.05,-294.67,224.239,1534.22,-256.657,217.889,1480.32
290,0,-257.37,222.191,1535.03,-294.655,224.269,1534.22,-256.665,217.942,1480.3
291,0,-257.376,222.219,1534.99,-294.657,224.333,1534.2,-256.644,217.998,1480.27
292,0,-257.378,222.287,1535.01,-294.629,224.378,1534.19,-256.65,218.048,1480.26
293,0,-257.394,222.35,1535.02,-294.653,224.438,1534.19,-256.672,218.115,1480.25
294,0,-257.386,222.358,1535.03,-294.621,224.526,1534.17,-256.666,218.195,1480.26
295,0,-257.388,222.447,1535.01,-294.625,224.609,1534.18,-256.665,218.222,1480.24
296,0,-257.355,222.465,1535.04,-294.593,224.686,1534.19,-256.631,218.312,1480.27
297,0,-257.358,222.52,1535.05,-294.599,224.736,1534.2,-256.643,218.331,1480.26
