Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
102,0,-229.369,180.397,1543.78,-266.636,180.752,1543.3,-228.827,182.922,1489.26
103,0,-229.291,180.803,1543.92,-266.567,181.015,1543.31,-228.717,183.055,1489.25
104,0,-229.195,181.07,1543.94,-266.511,181.288,1543.35,-228.651,183.294,1489.3
105,0,-229.153,181.286,1543.92,-266.462,181.549,1543.38,-228.594,183.457,1489.31
106,0,-229.106,181.476,1543.89,-266.408,181.87,1543.51,-228.582,183.571,1489.28
107,0,-229.06,181.648,1543.9,-266.351,181.987,1543.46,-228.517,183.743,1489.25
108,0,-229.065,181.851,1543.93,-266.291,182.186,1543.51,-228.466,183.893,1489.22
109,0,-229.043,181.994,1543.91,-266.243,182.338,1543.52,-228.362,184.062,1489.2
110,0,-228.97,182.212,1543.93,-266.154,182.497,1543.52,-228.277,184.297,1489.24
111,0,-228.887,182.477,1543.97,-266.027,182.647,1543.5,-228.167,184.553,1489.3
112,0,-228.804,182.663,1543.99,-265.948,182.865,1543.55,-228.032,184.874,1489.4
113,0,-228.743,182.848,1543.99,-265.846,183.165,1543.63,-227.957,185.115,1489.42
114,0,-228.641,183.063,1544.02,-265.766,183.45,1543.71,-227.889,185.382,1489.45
115,0,-228.498,183.191,1543.97,-265.687,183.698,1543.78,-227.794,185.515,1489.42
116,0,-228.443,183.489,1544.16,-265.592,183.905,1543.79,-227.722,185.682,1489.42
117,0,-228.413,183.722,1544.29,-265.535,184.154,1543.86,-227.682,185.906,1489.48
118,0,-228.357,183.909,1544.35,-265.48,184.293,1543.87,-227.758,185.986,1489.44
119,0,-228.114,184.16,1544.43,-265.453,184.448,1543.86,-227.693,186.26,1489.53
120,0,-228.144,184.338,1544.45,-265.388,184.662,1543.91,-227.637,186.547,1489.61
121,0,-228.012,184.605,1544.51,-265.308,184.881,1543.93,-227.567,186.847,1489.71
122,0,-227.95,184.828,1544.51,-265.285,185.064,1543.92,-227.512,187.123,1489.78
123,0,-227.851,185.075,1544.5,-265.155,185.391,1544,-227.458,187.399,1489.87
124,0,-227.744,185.275,1544.55,-265.099,185.616,1544.04,-227.425,187.637,1489.92
125,0,-227.719,185.487,1544.57,-265.006,185.834,1544.11,-227.373,187.841,1489.95
126,0,-227.649,185.716,1544.61,-264.957,186.003,1544.13,-227.323,188.073,1489.92
127,0,-227.611,185.932,1544.64,-264.859,186.262,1544.22,-227.251,188.321,1489.95
128,0,-227.553,186.153,1544.6,-264.836,186.513,1544.27,-227.173,188.55,1489.92
129,0,-227.515,186.465,1544.56,-264.784,186.886,1544.27,-227.078,188.896,1489.87
130,0,-227.501,186.835,1544.52,-264.739,187.256,1544.25,-226.934,189.218,1489.82
131,0,-227.445,187.163,1544.41,-264.616,187.714,1544.19,-226.846,189.642,1489.83
132,0,-227.532,187.639,1544.58,-264.55,188.011,1544.15,-226.837,189.881,1489.81
133,0,-227.517,187.851,1544.55,-264.532,188.245,1544.11,-226.883,190.143,1489.74
134,0,-227.334,188.132,1544.53,-264.542,188.526,1544.11,-226.884,190.444,1489.74
135,0,-227.275,188.403,1544.45,-264.522,188.841,1544.11,-226.852,190.71,1489.73
136,0,-227.285,188.726,1544.35,-264.546,189.252,1544.11,-226.78,191.093,1489.77
137,0,-227.237,189.299,1544.3,-264.442,189.74,1544.06,-226.721,191.557,1489.77
138,0,-227.266,189.758,1544.26,-264.406,190.123,1543.94,-226.693,191.98,1489.69
139,0,-227.289,190.088,1544.23,-264.412,190.415,1543.87,-226.689,192.254,1489.65
140,0,-227.24,190.329,1544.14,-264.423,190.735,1543.83,-226.706,192.596,1489.59
141,0,-227.127,190.67,1544.07,-264.412,191.234,1543.89,-226.729,192.894,1489.53
142,0,-227.095,191.179,1543.99,-264.442,191.593,1543.64,-226.72,193.34,1489.44
143,0,-227.054,191.741,1543.94,-264.483,192.198,1543.67,-226.717,193.93,1489.32
144,0,-227.091,192.232,1543.9,-264.432,192.575,1543.56,-226.67,194.205,1489.14
145,0,-227.148,192.516,1543.75,-264.297,192.936,1543.42,-226.488,194.524,1489.03
146,0,-227.285,192.9,1543.72,-264.325,193.331,1543.35,-226.468,194.902,1488.95
147,0,-227.27,193.132,1543.56,-264.395,193.744,1543.23,-226.635,195.584,1488.84
148,0,-227.276,193.586,1543.5,-264.422,194.293,1543.06,-226.743,196.045,1488.67
149,0,-227.343,194.093,1543.37,-264.368,194.65,1542.94,-226.744,196.457,1488.68
150,0,-227.293,194.61,1543.29,-264.395,194.826,1542.81,-226.662,196.675,1488.58
151,0,-227.41,194.928,1543.1,-264.514,195.306,1542.77,-226.693,196.996,1488.49
152,0,-227.374,195.258,1542.98,-264.592,195.761,1542.55,-226.755,197.423,1488.38
153,0,-227.415,195.446,1542.89,-264.674,196.216,1542.49,-226.791,197.756,1488.28
154,0,-227.474,195.806,1542.84,-264.67,196.576,1542.44,-226.823,198.205,1488.23
155,0,-227.502,196.277,1542.87,-264.62,196.861,1542.44,-226.82,198.713,1488.28
156,0,-227.617,196.729,1542.81,-264.624,197.13,1542.36,-226.815,199.114,1488.28
157,0,-227.612,197.063,1542.74,-264.702,197.514,1542.26,-226.832,199.427,1488.24
158,0,-227.662,197.425,1542.78,-264.79,197.964,1542.23,-226.876,199.721,1488.16
159,0,-227.657,197.651,1542.76,-264.878,198.402,1542.33,-226.931,199.924,1488.04
160,0,-227.68,197.849,1542.76,-264.942,198.704,1542.35,-227.008,200.176,1488.03
161,0,-227.713,198.023,1542.69,-264.956,198.891,1542.33,-227.085,200.43,1488
162,0,-227.78,198.276,1542.71,-264.939,199.063,1542.31,-227.139,200.768,1487.99
163,0,-227.869,198.491,1542.68,-264.976,199.263,1542.25,-227.12,201.007,1487.99
164,0,-227.915,198.749,1542.77,-264.994,199.43,1542.22,-227.145,201.166,1487.94
165,0,-227.953,198.836,1542.69,-265.026,199.523,1542.13,-227.139,201.29,1487.9
166,0,-227.982,198.894,1542.64,-265.058,199.57,1542.04,-227.169,201.371,1487.82
167,0,-227.969,198.745,1542.42,-265.086,199.518,1541.94,-227.164,201.445,1487.76
168,0,-228.032,198.799,1542.41,-265.094,199.489,1541.84,-227.194,201.45,1487.68
169,0,-228.063,198.643,1542.29,-265.136,199.405,1541.73,-227.227,201.429,1487.6
170,0,-228.076,198.55,1542.17,-265.169,199.323,1541.65,-227.219,201.396,1487.52
171,0,-228.131,198.482,1542.07,-265.225,199.198,1541.47,-227.251,201.346,1487.43
172,0,-228.113,198.388,1541.92,-265.287,199.156,1541.32,-227.188,201.389,1487.38
173,0,-228.173,198.385,1541.82,-265.38,199.135,1541.19,-227.311,201.27,1487.19
174,0,-228.166,198.355,1541.71,-265.45,199.046,1541.03,-227.36,201.172,1487.05
175,0,-228.221,198.334,1541.54,-265.467,199.025,1540.89,-227.451,201.154,1486.87
176,0,-228.282,198.341,1541.36,-265.471,199.022,1540.79,-227.479,201.112,1486.69
177,0,-228.388,198.253,1541.14,-265.498,199.024,1540.71,-227.524,201.045,1486.48
178,0,-228.411,198.276,1541.03,-265.532,198.954,1540.56,-227.62,200.957,1486.27
179,0,-228.481,198.201,1540.9,-265.599,198.892,1540.43,-227.651,200.845,1486.08
180,0,-228.578,198.134,1540.8,-265.68,198.806,1540.32,-227.726,200.724,1485.94
181,0,-228.645,198.084,1540.78,-265.736,198.741,1540.33,-227.794,200.619,1485.9
182,0,-228.672,198.047,1540.82,-265.812,198.681,1540.37,-227.914,200.476,1485.91
183,0,-228.724,197.977,1540.88,-265.889,198.662,1540.47,-228.003,200.38,1486.02
184,0,-228.77,197.96,1541.03,-265.977,198.611,1540.59,-228.122,200.214,1486.16
185,0,-228.885,197.945,1541.23,-266.05,198.546,1540.71,-228.209,200.154,1486.36
186,0,-228.944,197.917,1541.35,-266.132,198.485,1540.85,-228.377,200.227,1486.65
187,0,-229.048,197.85,1541.48,-266.163,198.442,1541,-228.459,200.233,1486.88
188,0,-229.109,197.833,1541.69,-266.236,198.433,1541.18,-228.511,200.175,1487.08
189,0,-229.167,197.817,1541.82,-266.385,198.37,1541.31,-228.581,200.076,1487.25
190,0,-229.234,197.82,1541.93,-266.425,198.361,1541.43,-228.623,199.989,1487.38
191,0,-229.344,197.779,1541.99,-266.493,198.368,1541.5,-228.662,199.871,1487.44
192,0,-229.425,197.798,1542.02,-266.536,198.407,1541.56,-228.751,199.719,1487.43
193,0,-229.487,197.789,1541.98,-266.646,198.398,1541.53,-228.853,199.596,1487.41
194,0,-229.588,197.747,1541.93,-266.682,198.397,1541.48,-228.899,199.467,1487.33
195,0,-229.629,197.736,1541.84,-266.799,198.376,1541.4,-228.971,199.376,1487.25
196,0,-229.699,197.651,1541.75,-266.871,198.33,1541.31,-229.039,199.218,1487.12
197,0,-229.757,197.528,1541.66,-266.934,198.247,1541.21,-229.126,199.115,1486.97
198,0,-229.78,197.347,1541.55,-267.009,198.109,1541.11,-229.21,199.019,1486.82
199,0,-229.84,197.187,1541.45,-267.091,197.98,1541,-229.244,198.912,1486.68
200,0,-229.917,196.85,1541.22,-267.135,197.908,1540.89,-229.244,198.887,1486.57
201,0,-230.02,196.811,1541.17,-267.24,197.755,1540.73,-229.316,198.794,1486.4
202,0,-230.078,196.722,1541.06,-267.337,197.595,1540.58,-229.447,198.616,1486.19
203,0,-230.098,196.582,1540.89,-267.448,197.321,1540.29,-229.617,198.409,1486
204,0,-230.2,196.419,1540.72,-267.588,197.189,1540.23,-229.653,198.248,1485.84
205,0,-230.207,196.275,1540.58,-267.663,196.952,1539.99,-229.703,198.121,1485.75
206,0,-230.403,196.089,1540.43,-267.768,196.834,1539.91,-229.694,197.949,1485.64
207,0,-230.536,195.932,1540.25,-267.82,196.74,1539.81,-229.78,197.828,1485.56
208,0,-230.598,195.767,1540.07,-267.814,196.628,1539.66,-229.719,197.694,1485.48
209,0,-230.614,195.482,1539.84,-267.841,196.44,1539.53,-229.803,197.5,1485.31
210,0,-230.733,195.358,1539.78,-268.046,196.145,1539.39,-229.915,197.197,1485.13
211,0,-230.856,195.134,1539.65,-268.046,195.958,1539.23,-230.045,196.89,1484.95
212,0,-230.929,194.905,1539.53,-268.137,195.784,1539.07,-230.121,196.71,1484.78
213,0,-231.011,194.805,1539.48,-268.284,195.505,1538.82,-230.151,196.575,1484.68
214,0,-231.102,194.647,1539.34,-268.339,195.355,1538.68,-230.208,196.47,1484.55
215,0,-231.211,194.531,1539.27,-268.441,195.165,1538.55,-230.145,196.408,1484.46
216,0,-231.266,194.344,1539.1,-268.529,195.047,1538.42,-230.296,196.232,1484.26
217,0,-231.361,194.196,1538.96,-268.627,194.905,1538.31,-230.533,196.148,1484.12
218,0,-231.528,194.001,1538.8,-268.707,194.874,1538.18,-230.573,195.989,1483.95
219,0,-231.628,193.697,1538.54,-268.81,194.727,1538,-230.692,195.857,1483.82
220,0,-231.775,193.617,1538.52,-268.937,194.631,1537.86,-230.712,195.787,1483.77
221,0,-231.869,193.378,1538.33,-269.078,194.376,1537.62,-230.792,195.579,1483.66
222,0,-231.948,193.326,1538.39,-269.277,194.241,1537.56,-230.92,195.37,1483.58
223,0,-232.13,193.126,1538.26,-269.47,194.039,1537.45,-231.097,195.104,1483.47
224,0,-232.244,192.985,1538.17,-269.613,193.811,1537.31,-231.283,194.864,1483.36
